study_id,n_datasets,overall_mean,overall_std,builder_mean,retrieval_mean,answer_mean,pipeline_mean,grounded_rate_mean,avg_gt_coverage_mean,avg_top_score_mean,triplets_mean,entities_mean
AB-00,1,4.5,0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
AB-01,1,3.8,0,5.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0
AB-02,1,4.1,0,5.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0
AB-03,1,4.35,0,5.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0
AB-04,1,3.95,0,5.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0
AB-05,1,4.65,0,5.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
AB-06,1,4.65,0,5.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
AB-07,1,4.55,0,5.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0
AB-08,1,4.65,0,5.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
AB-09,1,4.35,0,5.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0
AB-10,1,4.25,0,5.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
AB-11,1,4.65,0,5.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
AB-12,1,4.25,0,5.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
AB-13,1,4.55,0,5.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0
AB-14,1,4.25,0,5.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
AB-15,1,4.25,0,5.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
AB-16,1,3.9,0,5.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0
AB-17,1,4.25,0,5.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
AB-18,1,4.75,0,5.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
AB-19,1,4.3,0,4.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0
AB-20,1,4.65,0,5.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
AB-BEST,7,4.5,0.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
